age,sex,L,M,S
0,L,1.0,3.3,0.143939
1,L,1.0,4.5,0.133333
2,L,1.0,5.6,0.125000
3,L,1.0,6.4,0.117188
4,L,1.0,7.0,0.110714
5,L,1.0,7.5,0.110000
6,L,1.0,7.9,0.107595
7,L,1.0,8.3,0.108434
8,L,1.0,8.6,0.110465
9,L,1.0,8.9,0.109551
10,L,1.0,9.2,0.108696
11,L,1.0,9.4,0.109043
12,L,1.0,9.6,0.111979
13,L,1.0,9.9,0.111111
14,L,1.0,10.1,0.111386
15,L,1.0,10.3,0.109223
16,L,1.0,10.5,0.111905
17,L,1.0,10.7,0.112150
18,L,1.0,10.9,0.112385
19,L,1.0,11.1,0.112613
20,L,1.0,11.3,0.112832
21,L,1.0,11.5,0.115217
22,L,1.0,11.8,0.112288
23,L,1.0,12.0,0.114583
24,L,1.0,12.2,0.114754
25,L,1.0,12.4,0.114919
26,L,1.0,12.5,0.116000
27,L,1.0,12.7,0.118110
28,L,1.0,12.9,0.118217
29,L,1.0,13.1,0.118321
30,L,1.0,13.3,0.120301
31,L,1.0,13.5,0.118519
32,L,1.0,13.7,0.120438
33,L,1.0,13.8,0.121377
34,L,1.0,14.0,0.121429
35,L,1.0,14.2,0.121479
36,L,1.0,14.3,0.122378
37,L,1.0,14.5,0.124138
38,L,1.0,14.7,0.124150
39,L,1.0,14.8,0.125000
40,L,1.0,15.0,0.125000
41,L,1.0,15.2,0.125000
42,L,1.0,15.3,0.125817
43,L,1.0,15.5,0.127419
44,L,1.0,15.7,0.127389
45,L,1.0,15.8,0.128165
46,L,1.0,16.0,0.128125
47,L,1.0,16.2,0.128086
48,L,1.0,16.3,0.130368
49,L,1.0,16.5,0.130303
50,L,1.0,16.7,0.131737
51,L,1.0,16.8,0.130952
52,L,1.0,17.0,0.132353
53,L,1.0,17.2,0.132267
54,L,1.0,17.3,0.134393
55,L,1.0,17.5,0.134286
56,L,1.0,17.7,0.135593
57,L,1.0,17.8,0.136236
58,L,1.0,18.0,0.137500
59,L,1.0,18.2,0.136003
60,L,1.0,18.3,0.138005
0,P,1.0,3.2,0.140625
1,P,1.0,4.2,0.136905
2,P,1.0,5.1,0.132353
3,P,1.0,5.8,0.129310
4,P,1.0,6.4,0.125000
5,P,1.0,6.9,0.123188
6,P,1.0,7.3,0.123288
7,P,1.0,7.6,0.125000
8,P,1.0,7.9,0.123418
9,P,1.0,8.2,0.121951
10,P,1.0,8.5,0.123529
11,P,1.0,8.7,0.123563
12,P,1.0,8.9,0.126404
13,P,1.0,9.2,0.125000
14,P,1.0,9.4,0.125000
15,P,1.0,9.6,0.125000
16,P,1.0,9.8,0.125000
17,P,1.0,10.0,0.125000
18,P,1.0,10.2,0.125000
19,P,1.0,10.4,0.127404
20,P,1.0,10.6,0.125000
21,P,1.0,10.9,0.123853
22,P,1.0,11.1,0.126126
23,P,1.0,11.3,0.126106
24,P,1.0,11.5,0.126087
25,P,1.0,11.7,0.126068
26,P,1.0,11.9,0.126050
27,P,1.0,12.1,0.128099
28,P,1.0,12.3,0.128049
29,P,1.0,12.5,0.128000
30,P,1.0,12.7,0.127953
31,P,1.0,12.9,0.129845
32,P,1.0,13.1,0.129771
33,P,1.0,13.3,0.129699
34,P,1.0,13.5,0.131481
35,P,1.0,13.7,0.131387
36,P,1.0,13.9,0.131295
37,P,1.0,14.0,0.133929
38,P,1.0,14.2,0.133803
39,P,1.0,14.4,0.135417
40,P,1.0,14.6,0.135274
41,P,1.0,14.8,0.135135
42,P,1.0,15.0,0.136667
43,P,1.0,15.2,0.138158
44,P,1.0,15.3,0.140523
45,P,1.0,15.5,0.140323
46,P,1.0,15.7,0.140127
47,P,1.0,15.9,0.141509
48,P,1.0,16.1,0.142857
49,P,1.0,16.3,0.144172
50,P,1.0,16.4,0.144817
51,P,1.0,16.6,0.146084
52,P,1.0,16.8,0.145833
53,P,1.0,17.0,0.147059
54,P,1.0,17.2,0.148256
55,P,1.0,17.3,0.148844
56,P,1.0,17.5,0.150000
57,P,1.0,17.7,0.151130
58,P,1.0,17.9,0.152235
59,P,1.0,18.0,0.152778
60,P,1.0,18.2,0.153846
